symbol,time_utc,horizon,bars,entry,exit,pnl_pct,pnl_at_signal_close,mfe_pct,mae_pct,bias
BTW/USDT,2026-08-09 15:10,4h,48,0.20053,0.21415,-6.7920011968284015,-6.786675974867862,1.9847404378397302,7.215877923502709,5.87
BTW/USDT,2026-08-09 15:10,8h,96,0.20053,0.21904,-9.230539071460628,-9.225092250922518,1.9847404378397302,10.706627437291171,5.87
BTW/USDT,2026-08-09 16:55,15m,3,0.20401,0.20435,-0.16665849713249692,-0.16174884815214047,0.45095828635851387,1.8136365864418456,8.38
BTW/USDT,2026-08-09 16:55,30m,6,0.20401,0.20578,-0.8676045291897425,-0.8626605234780824,0.45095828635851387,1.8136365864418456,8.38
BTW/USDT,2026-08-09 16:55,1h,12,0.20401,0.20911,-2.499877456987399,-2.4948534457406057,0.45095828635851387,2.7841772462134164,8.38
BTW/USDT,2026-08-09 16:55,2h,24,0.20401,0.21183,-3.833145434047348,-3.8280560729340176,0.45095828635851387,4.200774471839613,8.38
BTW/USDT,2026-08-09 16:55,4h,48,0.20401,0.21658,-6.161462673398361,-6.156259190275457,0.45095828635851387,7.734914955149265,8.38
SKYAI/USDT,2026-08-09 03:15,15m,3,0.12169,0.12366,-1.6188676144301088,-1.5521064301552128,1.7010436354671725,2.6296326731859594,14.24
SKYAI/USDT,2026-08-09 03:15,30m,6,0.12169,0.12502,-2.736461500534132,-2.6689660836002207,1.7010436354671725,3.0405127783712667,14.24
SKYAI/USDT,2026-08-09 03:15,1h,12,0.12169,0.1129,7.2232722491577,7.284224357395091,8.217602103706145,3.19664721834168,14.24
SKYAI/USDT,2026-08-09 03:15,2h,24,0.12169,0.11891,2.28449338483031,2.3486901535682034,8.349083737365438,3.19664721834168,14.24
SKYAI/USDT,2026-08-09 03:15,4h,48,0.12169,0.13031,-7.083573013394694,-7.013221647367994,8.349083737365438,8.636699810995156,14.24
SKYAI/USDT,2026-08-09 03:15,8h,96,0.12169,0.11884,2.3420165995562536,2.4061755769072857,8.932533486728577,17.626756512449653,14.24
SKYAI/USDT,2026-08-09 03:15,12h,144,0.12169,0.11694,3.903360999260419,3.9664942103966503,8.932533486728577,17.626756512449653,14.24
SKYAI/USDT,2026-08-09 08:00,15m,3,0.12979,0.1292,0.4545804761537711,0.4238921001926743,3.1897680869096057,1.8953694429463117,19.47
SKYAI/USDT,2026-08-09 08:00,30m,6,0.12979,0.12665,2.419292703598102,2.389210019267816,4.33777640804375,1.8953694429463117,19.47
SKYAI/USDT,2026-08-09 08:00,1h,12,0.12979,0.12814,1.2712843824639686,1.2408477842003856,4.33777640804375,2.6273210570922445,19.47
SKYAI/USDT,2026-08-09 08:00,2h,24,0.12979,0.1135,12.551043994144376,12.524084778420038,13.298405115956532,2.6273210570922445,19.47
SKYAI/USDT,2026-08-09 08:00,4h,48,0.12979,0.12392,4.522690500038514,4.49325626204239,14.615918021419208,2.6273210570922445,19.47
SKYAI/USDT,2026-08-09 08:00,8h,96,0.12979,0.11768,9.33045689190229,9.30250481695568,14.615918021419208,2.6273210570922445,19.47
SKYAI/USDT,2026-08-09 08:00,12h,144,0.12979,0.0978,24.647507512134982,24.624277456647402,29.45527390399876,2.6273210570922445,19.47
TST/USDT,2026-08-09 00:50,15m,3,0.01622,0.01584,2.3427866831072652,2.3427866831072652,2.589395807644863,1.1097410604192546,17.0
TST/USDT,2026-08-09 00:50,30m,6,0.01622,0.01703,-4.99383477188657,-4.99383477188657,2.589395807644863,5.9186189889026055,17.0
TST/USDT,2026-08-09 00:50,1h,12,0.01622,0.01733,-6.84340320591864,-6.84340320591864,2.589395807644863,9.556103575832324,17.0
TST/USDT,2026-08-09 00:50,2h,24,0.01622,0.01853,-14.241676942046876,-14.241676942046876,2.589395807644863,27.3119605425401,17.0
