day,symbol,time_utc,price,bias,line_val,sma14,close_break_pct,neck_chg_pct,span,vol_ratio,sma25,sma99,dist_ma99_pct,sma200,dist_ma200_pct,sma200_slope_pct,entry,reclaim_3,pnl_15m,pnl_30m,pnl_1h,pnl_2h,pnl_4h,pnl_8h,pnl_12h,sma200_15,dist_ma200_15m_pct
2026-08-04,MUU/USDT,2026-08-04 07:55,25.12,5.71,25.38,25.223571,1.06,0.0,9,9.03,25.0916,24.234747,3.65,24.08715,4.29,1.285,25.11,True,-2.986857825567503,-3.4647550776583076,-1.6726403823178086,-1.0752688172042995,-5.217045001991248,-10.314615690959776,-9.996017522899251,24.28515,3.44
2026-08-04,NBIS/USDT,2026-08-04 00:30,211.44,6.05,216.596,215.848571,2.47,-0.01,10,14.27,215.8732,216.790808,-2.47,206.18835,2.55,1.173,211.44,False,-0.7283390087022286,0.30268634127884336,-2.118804388951944,-1.8255769958380692,-2.960650775633745,-3.622777147181232,-2.4971623155505114,199.74445,5.86
2026-08-04,SNDK/USDT,2026-08-04 00:55,1279.27,6.31,1286.808889,1299.633571,0.98,-1.97,18,9.38,1305.6772,1299.549495,-1.56,1254.89725,1.94,0.637,1279.24,False,-0.0031268565710862403,-1.1358306494481076,-2.4225321284512686,-1.0428066664582032,-0.8379975610518767,-3.3668428129201664,-6.173196585472626,1245.9422,2.67
2026-08-04,SNXX/USDT,2026-08-04 00:55,10.27,12.74,10.403333,10.602857,2.05,-3.86,18,25.7,10.7008,10.601313,-3.13,9.9181,3.55,1.217,10.27,False,-0.1947419668938615,-2.629016553067182,-5.2580331061343815,-2.4342745861733204,-2.0447906523855974,-7.594936708860771,-13.047711781888996,9.73855,5.46
2026-08-04,SNXX/USDT,2026-08-04 12:25,11.64,9.3,11.701111,11.634286,0.95,-0.34,9,6.01,11.51,11.025253,5.58,10.8095,7.68,1.063,11.64,False,0.08591065292096037,0.25773195876289634,0.171821305841936,-4.725085910652912,-8.76288659793814,-3.9518900343642533,-10.567010309278338,10.04985,15.82
2026-08-04,SOXL/USDT,2026-08-04 21:10,134.47,10.2,135.51375,135.301429,1.07,-3.87,16,10.25,137.848,137.761818,-2.39,131.17615,2.51,1.951,134.47,False,-0.044619617758609564,-0.803153119654951,-1.122927046924958,-1.182419870603111,-2.5135718004015732,-5.369227336952479,-0.18591507399419946,121.7663,10.43
2026-08-05,BTW/USDT,2026-08-05 22:45,0.15637,18.79,0.159127,0.159153,3.55,-0.29,22,6.39,0.158046,0.152459,2.57,0.145049,7.81,2.281,0.15644,True,-4.551265660956287,-4.806954743032472,-4.43620557402199,-4.583226796215808,-1.7067246228586075,-11.985425722321667,-9.824852978777802,0.129795,20.47
2026-08-05,PUMP/USDT,2026-08-05 09:10,0.002502,5.26,0.002503,0.002503,0.28,-0.52,13,11.02,0.002493,0.00245,2.12,0.002421,3.33,1.186,0.002503,True,0.0,-0.07990411506191897,0.878945265681178,-0.15980823012385525,-1.3983220135836945,1.4382740711146627,2.636835797043551,0.002255,10.96
2026-08-06,CTSI/USDT,2026-08-06 10:15,0.03317,58.2,0.033532,0.033431,2.36,-1.21,17,5.36,0.033426,0.025941,27.87,0.023723,39.82,6.428,0.03315,True,6.787330316742077,5.007541478129719,1.1161387631975936,-15.143288084464569,-10.256410256410257,1.1161387631975936,4.675716440422311,0.022227,49.23
2026-08-06,DODOX/USDT,2026-08-06 04:05,0.025332,34.39,0.025301,0.025187,2.77,-12.71,23,5.09,0.026949,0.027482,-7.82,0.023294,8.75,4.567,0.025344,True,-3.1052714646464765,-11.122948232323242,-14.050662878787886,-16.22474747474748,-17.58996212121212,2.324021464646462,13.49037247474747,0.020157,25.67
2026-08-07,C98/USDT,2026-08-07 11:25,0.01655,24.24,0.01664,0.017183,0.72,-5.61,10,5.03,0.017177,0.015673,5.6,0.014648,12.99,3.166,0.01655,True,-1.873111782477349,-2.83987915407856,-2.658610271903341,-9.909365558912404,1.0876132930513573,-9.546827794561944,-2.5377643504531737,0.013499,22.6
2026-08-07,RIVER/USDT,2026-08-07 00:00,3.227,15.41,3.254615,3.257286,3.12,-1.06,13,8.52,3.2466,3.040626,6.13,2.898955,11.32,2.437,3.227,True,-2.4480942051441024,-3.439727300898674,-3.8425782460489653,-2.6960024790827455,6.569569259374024,1.5494267121165115,7.964053300278887,2.655655,21.51
